INFO 2020-08-02 13:46:26,661 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:46:26,662 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4278
INFO 2020-08-02 13:46:26,668 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:46:26,670 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:46:26,683 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-02 13:46:26,684 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:46:26,685 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:46:26,712 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2020-08-02 13:46:26,749 log 222 Not Found: /image_code/18f3b0c3-0099-4664-b5c2-9fe4b74c4367/
WARNING 2020-08-02 13:46:26,750 basehttp 154 "GET /image_code/18f3b0c3-0099-4664-b5c2-9fe4b74c4367/ HTTP/1.1" 404 2265
INFO 2020-08-02 13:46:26,827 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
